date,date_string,month,site,lat,long,soak_time_start,soak_time_end,soak_time_total,hrs_soak_time,cpue_net,cpue_day,gear_type,mesh_size,habitat,effort_rep,unique_id,shark_pres_abs,shark_net_day,total_shark_net_day,shark_no_day,total_shark_day,total_length,age_bin,age_class,sex,euthanized,pregNAnt,lavaged,gut_contents,time_caught,time_bin_half,time_bin_whole,num_time_caught,temp,do_per,do_mgl,cond,sal,ph,wind_obs,solar_obs,crew,tide,notes
6/21/2021,44368,6,Bull Point,38.06344,-122.93102,10:00,12:00,2:00,2,0,0,gillnet,small,eel,1,20210621_small_eel_Bull Point,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.446,69.8,5.33,56503,37.62,13.4,light,overcast,"AC, KL, NN",,start of new large net
6/21/2021,44368,6,Bull Point,38.06344,-122.93102,10:10,12:10,2:00,2,0,0,gillnet,large,eel,2,20210621_large_eel_Bull Point,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.446,69.8,5.33,56503,37.62,13.4,light,overcast,"AC, KL, NN",,
6/23/2021,44370,6,Bull Point,38.06243,-122.92899,11:50,12:50,1:00,1,16,9,gillnet,large,mud,1,20210623_large_mud_Bull Point,1,1,16,1,18,119,110,adult,F,N,NA,N,NA,11:50,11:30,11:00,11.83333333,20.872,114.5,8.24,56046,37.29,9.99,light,sunny,"AC, RD, KL, SG",,net taken out of water between 12:50 and 13:35 to patch holes; exact time of capture not written down; 43cm neoNAte found next to net w/ bite marks on gills [not added to log]
6/23/2021,44370,6,Bull Point,38.06243,-122.92899,11:50,12:50,1:00,1,16,9,gillnet,large,mud,1,20210623_large_mud_Bull Point,1,2,16,2,18,93,90,juvenile,M,N,NA,N,NA,11:50,11:30,11:00,11.83333333,20.872,114.5,8.24,56046,37.29,9.99,light,sunny,"AC, RD, KL, SG",,net taken out of water between 12:50 and 13:35 to patch holes; exact time of capture not written down; 43cm neoNAte found next to net w/ bite marks on gills [not added to log]
6/23/2021,44370,6,Bull Point,38.06243,-122.92899,11:50,12:50,1:00,1,16,9,gillnet,large,mud,1,20210623_large_mud_Bull Point,1,3,16,3,18,95,90,juvenile,F,N,NA,N,NA,11:50,11:30,11:00,11.83333333,20.872,114.5,8.24,56046,37.29,9.99,light,sunny,"AC, RD, KL, SG",,net taken out of water between 12:50 and 13:35 to patch holes; exact time of capture not written down; 43cm neoNAte found next to net w/ bite marks on gills [not added to log]
6/23/2021,44370,6,Bull Point,38.06243,-122.92899,11:50,12:50,1:00,1,16,9,gillnet,large,mud,1,20210623_large_mud_Bull Point,1,4,16,4,18,98,90,juvenile,F,N,NA,N,NA,11:50,11:30,11:00,11.83333333,20.872,114.5,8.24,56046,37.29,9.99,light,sunny,"AC, RD, KL, SG",,net taken out of water between 12:50 and 13:35 to patch holes; exact time of capture not written down; 43cm neoNAte found next to net w/ bite marks on gills [not added to log]
6/23/2021,44370,6,Bull Point,38.06243,-122.92899,11:50,12:50,1:00,1,16,9,gillnet,large,mud,1,20210623_large_mud_Bull Point,1,5,16,5,18,101,100,adult,M,N,NA,N,NA,11:50,11:30,11:00,11.83333333,20.872,114.5,8.24,56046,37.29,9.99,light,sunny,"AC, RD, KL, SG",,net taken out of water between 12:50 and 13:35 to patch holes; exact time of capture not written down; 43cm neoNAte found next to net w/ bite marks on gills [not added to log]
6/23/2021,44370,6,Bull Point,38.06243,-122.92899,11:50,12:50,1:00,1,16,9,gillnet,large,mud,1,20210623_large_mud_Bull Point,1,6,16,6,18,98,90,juvenile,F,N,NA,N,NA,11:50,11:30,11:00,11.83333333,20.872,114.5,8.24,56046,37.29,9.99,light,sunny,"AC, RD, KL, SG",,net taken out of water between 12:50 and 13:35 to patch holes; exact time of capture not written down; 43cm neoNAte found next to net w/ bite marks on gills [not added to log]
6/23/2021,44370,6,Bull Point,38.06243,-122.92899,11:50,12:50,1:00,1,16,9,gillnet,large,mud,1,20210623_large_mud_Bull Point,1,7,16,7,18,102,100,adult,M,N,NA,N,NA,11:50,11:30,11:00,11.83333333,20.872,114.5,8.24,56046,37.29,9.99,light,sunny,"AC, RD, KL, SG",,net taken out of water between 12:50 and 13:35 to patch holes; exact time of capture not written down; 43cm neoNAte found next to net w/ bite marks on gills [not added to log]
6/23/2021,44370,6,Bull Point,38.06243,-122.92899,11:50,12:50,1:00,1,16,9,gillnet,large,mud,1,20210623_large_mud_Bull Point,1,8,16,8,18,105,100,adult,F,N,NA,N,NA,11:50,11:30,11:00,11.83333333,20.872,114.5,8.24,56046,37.29,9.99,light,sunny,"AC, RD, KL, SG",,net taken out of water between 12:50 and 13:35 to patch holes; exact time of capture not written down; 43cm neoNAte found next to net w/ bite marks on gills [not added to log]
